词,类,翻译,描述,例句,说明
ba,性质,大的,表示尺度、体量或强度处于较高水平的状态。,,
tewla,实体,寺、庙、宗教祭祀场所、神圣空间,指被划定为宗教用途的场所：可用于祭祀、祈祷、礼拜、修行、供奉等；不限定具体宗教或建筑形制。,,
kali,动作,制作、创造、制造、构建,主体在规则、条件与现实中，对某物进行有意识的生成与确立。,"mi kali nufe. 我创造语言。
ho kali luw. 神创世。
gia kali ho tewla. 人制造神庙。",
hesu,动作,休息、停歇、停息、停下来恢复,主体处于一种暂停、恢复、回收的状态。,,
low,性质,独处的、独自的、独在而安的,一种平衡、非匮乏的独在状态。,,
gela,实体,孩子、子女、所生子,指由某一存在所生、所出或所延续的后代实体。既可指具体的年幼人类个体（孩子、子女），也可指在血缘、生殖、抚育或生成意义上的“所生者”。语义核心不强调年龄，而强调生成关系与延续性。可自然扩展用于比喻性生成，如“思想的孩子”“作品的孩子”等，但默认指生命意义上的子代。,ho gela. 神的孩子。,
dili,实体,家、安全港,指一个存在者在关系、情感或生命经验中可安放自身、获得接纳与安稳的归属之处；强调被容纳、可返回、可停泊的意义，不必等同于具体住房，也可用于抽象、精神或关系性的“家”。,mi lew bu mi dili.,
mife,实体,城市、城,指人类形成的集中居住、交换、治理与文化活动的空间整体。强调人口密度、结构与持续性，而非单一建筑或行政边界。,,
liw,实体,中间、间隙、之间,指两个或多个存在之间的部分、阶段或过渡区域，可为空间、时间或关系层面的“中间”。,,
taw,动作,死、死亡,生命的终结事件。指生命过程的完成与终止是“活着”的对立端点。,,
via,动作,活着,指生命体处于持续存在与活动中的状态。强调过程性与当下性，而非生命这一抽象概念。,,
gew,动作,出生、诞生,指生命或个体从无到有的起始事件，强调进入存在状态的瞬间，而非成长过程。,,
jiw,实体,生命、生命体、生物,指生命本身这一存在形态，既可指具体生命体，也可指生命这一抽象范畴。,,
lew,动作,要、需要、想要,表示主体内部已形成但尚未付诸实施的行动指向或动机。本身不指具体行为，常用于修饰另一动作，表达“想要做 / 需要做 / 意图去做”。,,
dua,实体,门、出入口,可供进出、分隔内外空间的构造物；也可抽象指“入口/门径/门槛”（如机会之门、规则之门）。,,
dewno,动作,修行、修道,指一种长期展开的内在修行之路，是对生命状态、认知与存在方式的持续校正过程，强调方向性与一生性的实践，而非单次行为或宗教仪式。 ,,
lodu,动作,工作、职业、生计,指为了维持生计而从事的持续性社会劳动活动，强调时间与精力的交换。,,
suepa,动作,睡眠、睡觉,指生命体进入意识内收、身体活动显著降低的自然睡眠过程。,,
vega,动作,醒来、苏醒,指生命体从睡眠或意识内收状态中恢复感知与警觉。,,
meva,性质,善良的、有善意的,描述主体对他者持有的不敌对、不伤害、愿意体谅与接纳的态度。,,
ha,实体,什么、何,用于在问句中替换被疑问的项。,ha ne mi? 什么是我？,
ne,动作,是（X 是 Y）、被判断为,表示命题判断动作。将宾语作为对主语的判断结果，并确认该判断成立。ne 用于构造“X 被判断为 Y”的命题结构，是明确的单对象判断动词。,mi ne gia. 我是人。,
ni,功能,是、确是,与 na 相反，用于肯定一个完整句子所表达的命题是否成立，表示该判断为真。通常用于强调或强烈的肯定语气。,,
qivo,实体,信息、消息,可被感知、记录、传递与处理的意义单位；构成交流、记忆与系统运作的基础。,,
mu,实体,手,人体的主要操控与接触器官；用于抓握、操作、指向与精细控制。,,
muqivo,实体,手机,用于接收、处理与发送信息的个人信息终端装置。,,
ke,实体,工具、器具,被主体使用、用于达成特定目的的外部器具或手段；不限定其具体形态或用途。,,
lo,动作,用、使用、利用,使用某个工具、手段或资源以达成目的的行为；强调“借助外部之物”。,,
ze,性质,这、这个、这些,指示说话者当前关注、可被共同识别的实体。用于实体前作指示修饰。或指示说话者与听话者共享认知背景中的对象或类型，强调“无需再解释”。,,
zepa,实体,这、这个、这些,指示当前被指称的事物整体。,,
zie,性质,那、那个、那些,指示不在当前关注中心、在空间、时间或话语上更远的实体。用于实体前作指示修饰。,,
ziepa,实体,那、那个、那些,指示先前提及或远离当下的整体事物。,,
zew,性质,某个、某些、不特定的,指示非特指、未被选定或不重要具体指向的实体，常用于泛指或弱指。用于实体前作指示修饰。,,
zewpa,实体,某、某个东西、某些东西,指示非特指、未被选定或不重要具体指向的实体，常用于泛指或弱指。,,
kua,性质,迷乱的、迷幻的、虚幻的,描述世界、意识、感知或判断处于混沌、不稳定、失去清明的状态。,,
kualu,实体,酒、酒精饮料、酿造液体,由水 lu 构成、能使人产生迷乱状态的可饮用液体。,,
niw,实体,内、内部、里面,某一实体之内的部分或空间；也可指系统、结构或概念的内在层面。,,
nuw,实体,外、外部、外面,某一实体之外的部分或空间；也可指系统、结构或概念的外在层面。,,
dow,实体,建筑物,人工建造的、具有稳定结构的实体，用于容纳人、活动或物品。,,
zifo,实体,家、住房、住处、居所,指一个存在者日常居住、起居与返回的具体物理住处；强调其作为住房、屋宅或居所的空间性与可进入性，而不默认包含情感归属、血缘关系或精神安放意义。,mi da mi zifo.,
musedow,实体,博物馆（建筑）,用于收藏、保存并展示博物内容的建筑物；强调其作为物理空间与公共设施的属性。其中 muse 源自希腊语 Mouseion (μουσεῖον) [muːˈseː.on]（缪斯之所）。,,
mow,实体,钱、金钱、币,用于交换商品或服务的价值单位；泛指货币或金钱。,,
ro,动作,学、学习,获取、理解并内化知识或技能的活动或过程。,,
rodow,实体,学校,用于进行学习活动的建筑物。,,
mowlu,实体,交易、商业、生意,以金钱为媒介的流通、交换与往来活动；由 mow（钱）与 lu（水，流动）构成，强调金钱如水般的流动性。,,
mowludow,实体,商场、商圈、商区,用于进行商业活动的建筑物；由 mowlu（商业）与 dow（建筑物）构成。,,
bu,动作,去、前往,表示主体朝向某一目标或地点移动，强调“离开当前位置并指向目的地”的动作本身，而不强调是否到达；可用于具体空间移动（去城市、去房间），也可抽象指向目标、状态或事件（去做某事、走向某种结果）。,,
pu,动作,来自、从……来,表示主体或事物以某一来源、起点为出发点的关系动作，强调“来源 / 出处 / 起始点”；既可用于空间来源（从城市来），也可用于时间、因果、抽象来源（源自某想法、来自传统）。,,
gaw,动作,得到、获得,表示把某个原本不属于自己的东西变成自己拥有的。既可以用于具体的东西，如钱、物品、礼物，也可以用于抽象的事物，如机会、信息、知识、资格、权利，或某种结果与状态。,,
law,动作,失去、丢失,表示原本属于自己的东西不再属于自己。是“获得”的反义词。,,
bo,性质,好、良好、正面、善,表示事物、状态或行为在评价上是正向的、令人满意的、合宜的。是最基础的价值判断性质词，可用于客观质量、主观感受、道德评价等。,,
mo,性质,坏、不良、负面、歹,表示事物、状态或行为在评价上是负向的、不令人满意的、有问题的。是与 bo 成对的基础否定评价性质词。,,
luho,实体,灵、灵魂、超我,指生命超越物质与精神活动的存在层次；在个体中显现，但其本质与神（ho）同一。可用吠檀多哲学中的 ātman = brahman 关系理解：灵并非独立个体实体，而是神性在万物中的流布与显现。,,
mew,实体,心、精神、心理,指生命个体的精神活动与主观经验，包括思考、感受、情绪、意图与心理状态；处于物质之上，但尚未超越个体存在。,,
mewmi,实体,意识体、精神体、经验体,指个体自我（mi）的精神存在形态，由持续的精神活动与主观经验（mew）构成；作为经验的整体承载结构，使自我得以以“正在经历”的方式存在，但仍受个体边界所限。许多以内省冥想为核心的灵性修行传统，将对意识的纯化、澄明或觉知的稳定化视为最终目标，将个体自我确立为“纯粹的觉知”，其实质往往指向对 mewmi 存在状态的确立与维持；然而 mewmi 仍属于个体层面的存在形态，不等同于灵（luho），亦未超越个体存在本身，并非终极者。,,
mate,实体,物、物质、物体,指物理世界中的实体存在，包括自然物与人工造物；具有形式、边界与可感知性，是世界中一切物理显现的基础层。,,
matemi,实体,身体、肉体,指个体自我（mi）在物质世界中的身体形态；作为自我显现于物理世界的直接载体。,,
da,动作,处于、在、处在,表示主体处于某一空间、时间或抽象范畴之中；强调状态的成立与持续，不涉及进入、变化或过程。可用于物理位置、时间阶段、心理状态或概念范围。,mi da mife. 我在城市。,
lia,实体,方位、地方、地点、位置,某一有边界的物理空间。,,
how,实体,山、山峰,单一而完整的山体实体；体量与高度明显，高于周围地表，具有强烈、稳定的存在感。,,
sowni,实体,山脉、连山,大范围连续相连的山体系统；形态延展、起伏不断，常作为远景或整体背景存在。,,
palia,实体,北方,四基本方位之一；被定义为第一方位，用作空间体系中的基准方向与排序起点。,,
falia,实体,东方,四基本方位之一；第二方位，相对于第一方位按既定顺序展开。,,
malia,实体,南方,四基本方位之一；第三方位，与第一方位形成轴线对向关系。,,
talia,实体,西方,四基本方位之一；第四方位，用以完成基础四向空间结构。,,
pafalia,实体,东北方,位于第一方位与第二方位之间的中间方位。,,
famalia,实体,东南方,位于第二方位与第三方位之间的中间方位。,,
matalia,实体,西南方,位于第三方位与第四方位之间的中间方位。,,
tapalia,实体,西北方,位于第四方位与第一方位之间的中间方位。,,
vi,性质,新的,描述事物处于刚出现、刚生成、刚开始使用或尚未经历时间消耗的状态；强调初始性、新鲜度与未被时间或使用改变。可修饰实体、动作或抽象概念。,,
du,性质,老的、旧的,描述事物已存在一段时间，经历过使用、流逝或变化的状态；强调时间沉积、使用痕迹或不再处于初始阶段。可修饰实体、动作或抽象概念。,,
hiro,动作,觉悟、醒悟,灵性层面的觉醒，可能被表达作认知突破、看见真理或灵性升华。强调从混沌到澄明的瞬间质变。,,
mio,实体,声音,可被听觉直接感知的声响现象，本身不包含美感或价值判断。,,
vio,实体,视觉图像,可被视觉直接感知的形状、颜色、明暗等构成的整体视觉现象。,,
nio,实体,气味,可被嗅觉感知的化学刺激所形成的整体嗅觉现象。,,
gio,实体,味道,可被味觉感知的甜、苦、咸、酸等味觉整体体验。,,
tio,实体,触感,可被触觉感知的压力、温度、质地等形成的整体身体感觉。,,
lio,实体,观念、观点、命题,可被智识活动直接“感知”的思考内容本身，包括观念、判断、命题或想法，而非思考这一动作。,,
sa,性质,美好的、有美感的,表示事物在感受上具有美好价值。,,
samio,实体,音乐,美好的声音；在听觉维度上呈现的美感体验，是被感知为美的声音整体。,,
savio,实体,美的视像、美的画面,在视觉维度上呈现的美感体验，由美好的图像、形状或色彩构成。,,
sanio,实体,香、好闻的气味,在嗅觉维度上呈现的美感体验，即被感知为美好的气味整体。,,
sagio,实体,美味、美食,在味觉维度上呈现的美感体验，即被感知为美好的味道整体。,,
satio,实体,舒适的触感,在触觉维度上呈现的美感体验，如柔软、温润、舒适等身体感受。,,
salio,实体,哲学、思想体系,在智识维度上成立的美感与秩序体验，由一组被认为优美、协调或深刻的观念与命题构成的整体思想体系。,,
gosu,实体,救赎、救苦处、彼岸、灵性皈依处、终极归向,指个体在存在与意识层面上所确立的终极安置之处：人将自身的意义、恐惧、生死、价值与责任交付并归向的所在。它是一种灵性的皈依与托付关系，不以制度、教义或组织为本质；体制化宗教只是其可能的外在表现形式之一。,,
vibo,实体,主义、意识形态、观念系统,指一种被构造并传播的观念—叙事结构，用于组织、动员、规范或管理群体与社会运作。它可以呈现为宗教的、政治的、道德的或历史的形式，其核心功能是协调行为与维持社会运作，而非个体的终极灵性皈依。其典型特征包括：可被复制与传播、可被教育或灌输、服务于群体或权力结构；常以“正统/异端”“正确/错误”“忠诚/背叛”等二元划分进行边界建构，并倾向于要求一致性与服从性。,,
de,动作,解释、说明,指通过分析、拆解或重构，将现象、事实或问题呈现为可理解的结构的行为。强调说明“如何如此”与“因何如此”，而非评价其价值或意义。,,
siw,实体,系统、体系,指由多个要素及其相互关系所构成的稳定运作结构，具备内部规则、边界与持续性，可被重复使用、扩展或分析。系统本身不提供意义或立场，只提供结构与运行方式。,,
desiw,实体,科学,指一种以解释（de）为核心行为、以系统（siw）为组织形式的实践结构。它通过系统化、可重复的解释方式，对现象建立模型与规律，其目标是提升对世界运行方式的可理解性，而非提供终极意义或社会立场。,,
diho,动作,渴望、渴求、欲求、欲望,描述主体处于一种尚未满足的内在欲求状态中。可直接修饰另一动作，表示“在渴望驱动下做想要某事”。,,
vile,动作,意图、想要,描述主体在意识中指向某一目标，并形成想要达成该目标的意图；该意图不要求情感强度，也不预设实际行动的发生。,,
saniolu,实体,香水,人为调制并用于赋予香味的液体，常被用于表达意图、塑造感受或吸引他者。,,
ciw,动作,意识、觉知、觉察,指觉知活动本身，即“正在觉察显现的”。,,
buniw,动作,进入、走进、加入、接入、投入,表示主体从外部位置或外部状态跨越某个明确或隐含的边界，进入到一个空间、系统、群体或状态之内。可用于物理空间（进入房间、进入区域），也可用于抽象对象（加入组织、进入系统、进入话题、进入状态）。强调“向内”的方向性，不内建完成或持续含义。,,
bunuw,动作,出去、走出、离开去、出离往,表示主体从内部位置或既有状态跨越某个明确或隐含的边界，移动到外部空间、外部系统或外部状态。可用于物理离开（走出房间、出城），也可用于抽象脱离（退出系统、退出讨论、脱离关系、结束参与）。强调“向外”的方向性，不默认是否返回或是否终结。,,
vidu,实体,电,一种可被产生、传导与利用的非物质能量状态；表现为流动、激发或瞬时释放的力量。语义核心偏向“能量本身”，而非具体装置或现象。,,
muw,实体,力、力量,泛指一切“能施加影响的力”。可指物理力、社会力量、意志力。,,
piuw,实体,风,自然界中的空气流动现象；可指具体可感的风（如吹动、寒风、热风），也可在抽象语境中引申为“流动的力量、无形的推动者”。,,
suqi,实体,道路、路径、路途；方式、方法、途径,指连接地点、状态或目标的可行进结构。既可指物理空间中的道路与路途，也可指为达成某一目的而采取的方式、方法或途径，强调“可被遵循的路径性”。,,
fote,动作,喜欢、喜爱,表示主体对某一实体（人、事物、概念）产生正向、持续的情感取向或偏好。属于有对象动作，需带宾语。语义强度中性，弱于“爱”，强于“觉得不错”。,,
liofa,动作,想、觉得、认为；持有某种看法；思考,表示主体对某一思想内容（命题、判断、观念）的认知立场。其宾语为思想的内容，通常以句子形式出现，可通过句子实体化结构作为宾语。,,
miow,动作,感受、感到、感受到（情绪或情感）；心里出现某种原始感觉,指情绪或非理性的感受在主体心中发生，不涉及理性判断。,,
zava,动作,离弃、绝弃、抛下、撤回守护,"指主动中止对某实体的关系、责任或盟约，使其独自暴露于原状之中；语义重于“离开”，带冷却与断裂感。该词语义来源参考希伯来语 ʿāzav（עזב），其经典用例出自诗篇 22:1 及福音书中耶稣在十字架上的呼喊：“我的神，我的神，你为什么离弃我？”（Eli, Eli, lama azavtani）。",,
tobi,动作,离开、脱离、走开、从此处前往别处,指主体从当前位置或情境中移动到另一处，不必包含关系断裂、责任撤回或情感否定。,,
melu,动作,离开（某人）、与某人分开,指主体在承认既有关系的前提下，选择不再与某实体继续同行、共处或维持当下关系状态；不必包含否定、抛弃或撤回责任之意。,,
kala,实体,时；时间、时流；时候、时段；时代、时期,指抽象意义上的“时间”，也可指具体的某段时间、某个时候，或较大的历史时期。词感偏古典、宏观，适合做时间相关词族的核心词根。,,
mepe,实体,国家、国；邦国、国度,指具有政治组织、边界、统治结构与公共身份认同的整体实体。可用于现代国家，也可泛指较正式意义上的国。,,
pata,实体,空间；空域、广延,指可容纳事物存在、展开、分布的空间本身。不同于“地方”“位置”“方位”；不强调点位，而强调范围、维度、容纳性与展开性。,,
piyema,实体,安宁、宁静；深邃、玄深、深奥；无限感、无边感；神临在感、神圣同在；解脱感、无我感,一种内在意识完全安定、向深处敞开并与整体存在相融的状态；既包含情绪上的平静，也包含认知上的消融与超越，常见于冥想、宗教体验或高度专注的精神境界。,,
mipe,实体,太阳、日,指天空中发光发热、照亮世界并维系昼夜节律的恒星；默认指人所居世界所见之太阳，也可在具体语境中泛指某一世界的太阳。,,
viofa,动作,看、视,通过视觉对某一对象进行感知；强调以眼或视觉能力指向并接收其显现。,,
miofa,动作,听,通过听觉对声音、语言或其他可听对象进行感知；强调接收其声响或话语。,,
niofa,动作,闻、嗅（气味）,通过嗅觉对气味进行感知；可指主动去闻，也可指被某种气味所闻到。,,
giofa,动作,品尝（味道）,通过味觉对食物、饮品或其他可尝对象的味道进行感知；强调辨别其味而非单纯进食。,,
tiofa,动作,摸、触,通过身体接触对某一对象进行触觉感知；可指主动触摸，也可指短暂接触。,,
a,功能,语气词、句末语气标记,用于表达陈述、疑问、感叹、祈使、提醒、强调等语气；可出现在句首、句中或句末。,"mi pale a. 我存在啊。
mi pale a? 我存在吗？",语气由上下文与语调决定
i,功能,句子名词化起始标记、前括词,与 u 配合，将句子整体转化为实体成分，可作主语或宾语。,i mi pale u ne bo pa. 我存在是好的。,可在无歧义时省略其一
u,功能,句子名词化结束标记、后括词,与 i 配合，标记被整体实体化的句子边界。,mi toli i ti pale u. 我说你存在。,可在无歧义时省略其一
e,功能,并列连词、和、与,连接同类词、短语或句子成分，表示并列关系。,mi e ti pale. 我和你存在。,用于主语、谓语、宾语或修饰语并列
o,功能,后置句修饰标记、……的、其后有句子说明的,将后面的句子转化为修饰前项的后置修饰结构。,gia o ti mela. 你爱的人。,句后宜有停顿，书写可用逗号或句号辅助
ia,功能,在、于；给,引入地点、处所、时间中的所在点，也可引入接受者或间接受益者。,mi toli ia ti. 我对你说。,可作介词
ie,功能,从、由、通过,表示来源、起点、经由路径或手段方式。,,可作介词
ue,功能,去、向、为了,表示去向、目标、目的。,,可作介词
io,功能,虽然……但是……（前件标记）,与 uo 搭配构成让步转折结构的前半部分。,"io mi lew, uo mi na bu. 虽然我想要，但是我不去。",须与 uo 配合
uo,功能,但是、然而（后件标记）,与 io 搭配，承接前面的让步条件并给出转折结果。,"io mi ne sew pa, uo mi na hesu. 虽然我是平静的，但是我未有休息。",须与 io 配合
iu,功能,如果、若（前件标记）,与 ui 搭配构成条件句的前半部分。,"iu mi pale, ui mi taw. 如果我存在，那么我（会/必）死。",须与 ui 配合
ui,功能,那么、则（后件标记）,与 iu 搭配，承接条件并给出结果。,"iu mi ro, ui mi te toli. 如果我学习，那么我就能说。",须与 iu 配合
ua,功能,或、或者,连接可替代的项，表示选择关系。,ti ua mi bu. 你或我去。,可连接词、短语或句子
aw,功能,现在时,标记动作发生在当前时间范围内。,mi aw muo. 我现在吃。,时态功能词
iw,功能,过去时,标记动作发生在说话时间之前。,mi iw muo. 我曾经吃。,时态功能词
uw,功能,将来时,标记动作发生在说话时间之后。,mi uw muo. 我将来吃。,时态功能词
ew,功能,完成体,标记动作已经完成，强调结果或终结性。,mi ew muo. 我吃了。,体态功能词
ow,功能,进行体,标记动作正在进行，强调持续过程。,mi ow muo. 我在吃。,体态功能词
iaw,功能,现在完成体,由 aw 与 ew 组合而来，表示现在已经完成。,mi iaw muo. 我现在吃了。,aw + ew
uaw,功能,现在进行体,由 aw 与 ow 组合而来，表示现在正在进行。,mi uaw muo. 我现在在吃。,aw + ow
iew,功能,过去完成体,由 iw 与 ew 组合而来，表示过去某时已经完成。,mi iew muo. 我当时吃了。,iw + ew
iow,功能,过去进行体,由 iw 与 ow 组合而来，表示过去某时正在进行。,mi iow muo. 我当时正在吃。,iw + ow
uew,功能,将来完成体,由 uw 与 ew 组合而来，表示将来某时将已经完成。,mi uew muo. 我将来吃了。,uw + ew
uow,功能,将来进行体,由 uw 与 ow 组合而来，表示将来某时将正在进行。,mi uow muo. 我将来正在吃。,uw + ow
iuw,功能,因为（前件标记）,与 uiw 搭配构成因果结构的前半部分。,"iuw mi ne na sew pa, uiw mi hesu. 因为我不是平静的，所以我休息。",须与 uiw 配合
uiw,功能,所以（后件标记）,与 iuw 搭配，承接原因并给出结果。,"iuw mi ro, uiw mi te toli. 因为我学习，所以我能说。",须与 iuw 配合
be,功能,被、受（被动标记）,置于动作词前，将该动作转为被动表达，使主语表示该动作的承受者而非发出者。也可与动作词拼合造词，表示“被……”“受……的状态”或“被施加该动作之者”。,ti be mela mi. 你被我爱。,用于“主语 + be + 动作 + （施事）”。可与动作词拼合，如 “bemela”（被爱、受爱）。
so,动作,使、让；使成、致使,表示主语促成某一情况、状态或事件发生。通常置于主语后，其后接一个句子，表示“使该句所述情形成立”。,ti so i mi via u. 你使我活着。,常用于“主语 + so + i [句子] u”。
gi,实体,他、她、它,指第三方单一存在者，即不属于“我”与“你”的所指对象。可指人、动物、物或抽象对象，不区分性别，也不区分有生与无生。,gi pale. 他 / 她 / 它存在。,用于第三人称单数；为通用第三指称。
qe,动作,知、知道、知晓,表示主体对某一对象、事实或句子内容具有认知上的把握与知晓。可直接接实体作宾语，也可接句子名词化结构作宾语。,"mi qe ti. 我知道你。
mi qe i ti pale u. 我知道你存在。",宾语可为实体，也可为 i [句子] u 结构。
fe,实体,我；自己、自身,指说话者所回指的自身存在，可用于自称，也可用于强调“自己本身”“其自身”这一自指对象。相较于 mi 的一般性第一人称用法，fe 带有更强的自我回返、自身性与内在指向色彩，因此既可用于自言、自述、内心独白，也可扩展用于表达反身意义或“自己”的概念。,,
nagu,实体,花、花朵、花卉,指植物的花，也可泛指具有花之形态或意象的存在物。,,
soke,实体,天、天空、天际、穹空,指头顶之天、天空的范围，也可指高远的天之所在。,,
mati,性质,蓝色的、蔚蓝的、青蓝的,表示对象具有蓝色相关的颜色性质。,,
hepa,实体,词、词语、语词、词汇,指语言中可被说出、书写、理解的词语单位。,,
zuva,动作,尝试、试、试验、试作、试行,表示对某事进行尝试、检验或试作的行为。,,
ge,动作,有、拥有、具有、持有、具备,表示某一存在者拥有某物，或具有某种性质、状态。,,
qa,动作,开始、起始、开端、发端、肇始、起源于,表示某事从无到有地开启，进入最初的发生或展开。,,
ki,动作,结束、终止、完结、止息、了结,表示某事由进行转入终结，不再继续。,,
vo,实体,无、虚无、虚空、空无、空,指空无本身，或被理解为“不存在”与“虚空”的实体性概念。,,
je,实体,组、团、会、集、聚类、集合、群组、团体,指多个成员所构成的集合体、群体或组织。,,
ruma,动作,伤害,指主体对另一对象施加会造成损伤、痛苦、破坏或不良后果的行为。该词是有对象的动作词，通常用于表示对人、动物、身体、心理、关系或其他对象造成实际或可感知的伤损，不用于单纯“自己受伤”或无对象的自然受损。,ti ruma mi.,
dema,动作,受伤,指主体进入受伤、受损、受创的状态，强调结果状态已经发生，而不要求句中明确指出施害者、原因或外部动作来源。可用于身体上的受伤，也可扩展用于较广义的受损、受创，但核心仍是主体自身处于伤害结果之中。,mi dema.,
ve,性质,多的、许多的,表示数量或份量处于较高水平。,ve gia pale. 许多人在。,
no,性质,少的、少量的,表示数量或份量处于较低水平。,lu ne no pa. 水是少的。,
to,性质,应该的、应当的、合宜当行的,表示某动作、判断或状态在规范、义务或正当性上被认为应当成立；强于 bo 的一般“好”，不等同于 te 的“能”。,mi to bu. 我应当去。,
kopa,动作,切碎、切成小块、分切成碎块,以刀具、器具或其他方式将整体分切为较小块状，强调由完整转为碎块。,ti kopa zew mate. 你把某物切碎。,参考古典希腊语 kopto（κόπτω，切、击、截断），取其“切开、分断”义核，压成 Nufe 合法形式 ko-pa。
lawpa,实体,灯、灯具、照明器,人工制造、用于持续发光以照明的器具，可指油灯、灯笼、电灯等一般“灯”。,zew lawpa da zifo. 这盏灯在家里。,参考古典希腊语 lampas（λαμπάς，火炬、灯）及其拉丁转写词族，定形为 law-pa。
supa,实体,上面、上方、顶部方向,以某参照物为基准，处于其较高位置或其上侧的方位。,ke da dow supa. 工具在建筑上面。,参考拉丁语 supra / super（在上、上方）。
iwfa,实体,下面、下方、底部方向,以某参照物为基准，处于其较低位置或其下侧的方位。,lu da dow iwfa. 水在建筑下面。,参考拉丁语 infra（在下、下方）。
siwta,实体,左边、左方,以某主体当前朝向为基准，位于其左侧的相对方位。,zewpa da mi siwta. 那东西在我左边。,参考拉丁语 sinistra（左边、左侧）。
deka,实体,右边、右方,以某主体当前朝向为基准，位于其右侧的相对方位。,zewpa da mi deka. 那东西在我右边。,参考拉丁语 dexter / dextra（右边、右侧）。
awta,实体,前面、前方,以某主体当前面向或行进方向为基准，处于其前侧的方位。,dua da mi awta. 门在我前面。,参考拉丁语 ante（在前、先于）。
posa,实体,后面、后方,以某主体当前面向或行进方向为基准，处于其后侧的相对方位。,gi da mi posa. 他在我后面。,参考拉丁语 post（在后、之后）。
ko,动作,放、放置、安放、置于,表示主体将某一对象安置到某个位置。,mi ko mow ia ti. 我把钱放在你那。,直接宾语为被放的东西，间接宾语为所放位置。
mama,实体,妈妈、母亲,女性家长，母亲，指与自己有直接血缘关系的女性生育者。,,
papa,实体,爸爸、父亲,父亲，男性家长，指与自己有直接血缘关系的男性生育者。,,
